STATION NAME,AGENCY,NO. OF PLUGS,TYPE OF CHARGER,ADDRESS,CITY,POSTCODE,BOROUGH,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
NYC FLEET / DEP_TALLMAN-9,DEP,2,Level 2 Charger,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,
NYC FLEET / DEP_TALLMN_1_L3,DEP,1,Level 3 Fast Charger,127-01 Powell Cove Blvd,Queens,11356,Queens,40.793864,-73.840525,407,19,939,4453834,4039250001,QN0701
NYC FLEET / DEP_TALLMN_2_L3,DEP,1,Level 3 Fast Charger,127-01 Powell Cove Blvd,Queens,11356,Queens,40.793864,-73.840525,407,19,939,4453834,4039250001,QN0701
NYC FLEET / DEP_W135ST#1,DEP,2,Level 2 Charger,725 W 135Th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEP_W135ST#2,DEP,2,Level 2 Charger,725 W 135Th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEP_WARDMRNE-1,DEP,1,Level 2 Charger,148 6 Dr,New York,10035,Manhattan,40.788869,-73.920097,111,8,240,1088060,1018190015,MN1191
NYC FLEET / DEP_WARDNEWADMN,DEP,2,Level 2 Charger,104 B Rd,New York,10035,Manhattan,40.787146,-73.925083,111,8,240,1088039,1018190015,MN1191
NYC FLEET / DEP_WARDS ISLAN,DEP,2,Level 2 Charger,Hell Gate Cir,New York,10035,Manhattan,,,,,,,,
NYC FLEET / DEP_WARDS_1_L3,DEP,1,Level 3 Fast Charger,104 B Rd,New York,10035,Manhattan,40.787146,-73.925083,111,8,240,1088039,1018190015,MN1191
NYC FLEET / DEP_WARDS_2_L3,DEP,1,Level 3 Fast Charger,104 B Rd,New York,10035,Manhattan,40.787146,-73.925083,111,8,240,1088039,1018190015,MN1191
NYC FLEET / DEP_WARDS_3_L3,DEP,1,Level 3 Fast Charger,142 A Rd,New York,10035,Manhattan,40.785113,-73.923366,111,8,240,1088037,1018190015,MN1191
NYC FLEET / DEP_WARDS_4_L3,DEP,1,Level 3 Fast Charger,142 A Rd,New York,10035,Manhattan,40.785113,-73.923366,111,8,240,1088037,1018190015,MN1191
NYC FLEET / DEP_WARDS_5_L3,DEP,1,Level 3 Fast Charger,142 A Rd,New York,10035,Manhattan,40.785113,-73.923366,111,8,240,1088037,1018190015,MN1191
NYC FLEET / DEP_WARDS_6_L3,DEP,1,Level 3 Fast Charger,142 A Rd,New York,10035,Manhattan,40.785113,-73.923366,111,8,240,1088037,1018190015,MN1191
NYC FLEET / DEP_WARDS_7_L3,DEP,1,Level 3 Fast Charger,149 8 Dr,New York,10035,Manhattan,40.788166,-73.919762,111,8,240,1088059,1018190015,MN1191
NYC FLEET / DEP_WARDS_8_L3,DEP,1,Level 3 Fast Charger,149 8 Dr,New York,10035,Manhattan,40.788166,-73.919762,111,8,240,1088059,1018190015,MN1191
NYC FLEET / DEP_WARDSADMN-1,DEP,1,Level 2 Charger,106 2Nd Dr,New York,10035,Manhattan,40.788715,-73.924539,111,8,240,1088029,1018190015,MN1191
NYC FLEET / DEP_WARDS-ARC,DEP,1,EV Solar Arc Charger,111 3Rd Dr,New York,10035,Manhattan,40.787573,-73.924403,111,8,240,1088032,1018190015,MN1191
NYC FLEET / DEP_WARDSTLR-1,DEP,1,Level 2 Charger,143 A Rd,New York,10035,Manhattan,40.785113,-73.923366,111,8,240,1088038,1018190015,MN1191
NYC FLEET / DEP_WARDTRLR116,DEP,2,Level 2 Charger,116 4Th Dr,New York,10035,Manhattan,40.791082,-73.921051,111,8,240,1088022,1018190030,MN1191
NYC FLEET / DEP_WDRC#1,DEP,2,Level 2 Charger,3525 State Highway 10,Deposit,13754,Upstate,,,,,,,,
NYC FLEET / DEP_WS_JEROME,DEP,2,Level 2 Charger,3327-3549 Jerome Ave,West Bronx,10468,Bronx,40.879456,-73.885016,207,11,421,,,BX0703
NYC FLEET / DEP_WS465COLU1,DEP,2,Level 2 Charger,465 Columbus Ave,Valhalla,10595,Upstate,,,,,,,,
NYC FLEET / DEP_WS465COLU2,DEP,2,Level 2 Charger,465 Columbus Ave,Valhalla,10595,Upstate,,,,,,,,
NYC FLEET / DEP_WT_HP_ADMIN,DEP,2,Level 2 Charger,1260 Ryawa Ave,Bronx,10474,Bronx,40.804742,-73.885322,202,17,9302,2118134,2027800002,BX0201
NYC FLEET / DEP_WT_HP_CONST,DEP,2,Level 2 Charger,1260 Ryawa Ave,Bronx,10474,Bronx,40.804742,-73.885322,202,17,9302,2118134,2027800002,BX0201
NYC FLEET / DEP_WT_PAEDERGA,DEP,2,Level 2 Charger,1887 Ralph Ave,Brooklyn,11234,Brooklyn,40.631239,-73.918502,318,46,69601,3398349,3083380001,BK1802
NYC FLEET / DEP_WTNEWTOWN-1,DEP,1,Level 2 Charger,289-369 Greenpoint Ave,Brooklyn,11222,Brooklyn,40.730973,-73.947675,301,33,57902,,,BK0101
NYC FLEET / DEPCNY_ISL_1_L3,DEP,1,Level 3 Fast Charger,2509 Knapp St,Sheepshead Bay,11235,Brooklyn,40.592085,-73.932521,315,46,628,3404766,3088340175,BK1503
NYC FLEET / DEPCNY_ISL_2_L3,DEP,1,Level 3 Fast Charger,3002 Knapp St,Sheepshead Bay,11235,Brooklyn,,,,,,,,
NYC FLEET / DEPDOWNSVILLE_1,DEP,2,Level 2 Charger,20 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,
NYC FLEET / DEPDOWNSVILLE_2,DEP,2,Level 2 Charger,40 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,
NYC FLEET / DEPDOWNSVILLE_3,DEP,2,Level 2 Charger,20 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,
NYC FLEET / DEPDOWNSVILLE_4,DEP,2,Level 2 Charger,20 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,
NYC FLEET / DEPDOWNSVILLE_5,DEP,2,Level 2 Charger,20 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,
NYC FLEET / DEP-FMC,DEP,2,Level 2 Charger,58-30 Grand Ave,Maspeth,11378,Queens,40.719651,-73.91119,405,30,525,4059931,4026810001,QN0501
NYC FLEET / DEPJAMAICA_1_L3,DEP,1,Level 3 Fast Charger,150-20 134th St,Queens,11420,Queens,40.662964,-73.806765,410,31,716,4459547,4119000002,QN8381
NYC FLEET / DEPJAMAICA_2_L3,DEP,1,Level 3 Fast Charger,150-20 134 Street,Queens,11430,Queens,40.662964,-73.806765,410,31,716,4459547,4119000002,QN8381
NYC FLEET / DEPJAMAICA_3_L3,DEP,1,Level 3 Fast Charger,150-20 134th St,Queens,11420,Queens,40.662964,-73.806765,410,31,716,4459547,4119000002,QN8381
NYC FLEET / DEPJAMAICA_4_L3,DEP,1,Level 3 Fast Charger,150-20 134 Street,Queens,11436,Queens,40.662964,-73.806765,410,31,716,4459547,4119000002,QN8381
NYC FLEET / DEPNEWTOWNCRK01,DEP,2,Level 2 Charger,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
NYC FLEET / DEPNEWTOWNCRK02,DEP,2,Level 2 Charger,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
NYC FLEET / DEPNEWTOWNCRK03,DEP,2,Level 2 Charger,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
NYC FLEET / DEPNORTHRIVER01,DEP,1,Level 2 Charger,750 W 145Th St,New York,10031,Manhattan,40.827108,-73.95466,109,7,225,1086244,1021010100,MN0903
